===============================================================
Gobuster v3.5
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://www.geeksforgeeks.org/backups
[+] Method:                  GET
[+] Threads:                 20
[+] Wordlist:                /home/kali/Downloads/SecLists-master/Discovery/Web-Content/common.txt
[+] Negative Status codes:   301,404
[+] Exclude Length:          335,334
[+] User Agent:              gobuster/3.5
[+] Extensions:              txt
[+] Expanded:                true
[+] Timeout:                 10s
===============================================================
2023/08/27 08:48:48 Starting gobuster in directory enumeration mode
===============================================================
[2Khttps://www.geeksforgeeks.org/backups/.svn/entries         (Status: 403) [Size: 302]
[2Khttps://www.geeksforgeeks.org/backups/.rhosts.txt          (Status: 403) [Size: 301]
[2Khttps://www.geeksforgeeks.org/backups/.ssh.txt             (Status: 403) [Size: 298]
[2Khttps://www.geeksforgeeks.org/backups/.ssh                 (Status: 403) [Size: 291]
[2Khttps://www.geeksforgeeks.org/backups/.subversion.txt      (Status: 403) [Size: 305]
[2Khttps://www.geeksforgeeks.org/backups/.svn/entries.txt     (Status: 403) [Size: 310]
[2Khttps://www.geeksforgeeks.org/backups/.swf.txt             (Status: 403) [Size: 298]
[2Khttps://www.geeksforgeeks.org/backups/.svn.txt             (Status: 403) [Size: 299]
[2Khttps://www.geeksforgeeks.org/backups/.subversion          (Status: 403) [Size: 298]
[2Khttps://www.geeksforgeeks.org/backups/.svnignore           (Status: 403) [Size: 296]
[2Khttps://www.geeksforgeeks.org/backups/.web                 (Status: 403) [Size: 291]
[2Khttps://www.geeksforgeeks.org/backups/.svn                 (Status: 403) [Size: 290]
[2Khttps://www.geeksforgeeks.org/backups/.svnignore.txt       (Status: 403) [Size: 304]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/acme-challenge (Status: 403) [Size: 325]
[2Khttps://www.geeksforgeeks.org/backups/.swf                 (Status: 403) [Size: 290]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/apple-app-site-association (Status: 403) [Size: 344]
